author,content,title
Leopoldo Lugones,"

En el parque confuso
Que con lánguidas brisas el cielo sahúma,
El ciprés, como un huso,
Devana un ovillo de de bruma.
El telar de la luna tiende en plata su urdimbre;
Abandona la rada un lúgubre corsario,
Y después suena un timbre
En el vecindario.

Sobre el horizonte malva
De una mar argentina,
En curva de frente calva
La luna se inclina,
O bien un vago nácar disemina
Como la valva
De una madreperla a flor del agua marina.

Un brillo de lóbrego frasco
Adquiere cada ola,
Y la noche cual enorme peñasco
Va quedándose inmensamente sola.

Forma el tic-tac de un reloj accesorio,
La tela de la vida, cual siniestro pespunte.
Flota en la noche de blancor mortuorio
Una benzoica insispidez de sanatorio,
Y cada transeúnte
Parece una silueta del Purgatorio.

Con emoción prosaica,
Suena lejos, en canto de lúgubre alarde,
Una voz de hombre desgraciado, en que arde
El calor negro del rom de Jamaica.
Y reina en el espíritu con subconsciencie arcaica,
El miedo de lo demasiado tarde.

Tras del horizonte abstracto,
Húndese al fin la luna con lúgubre abandono,
Y las tinieblas palpan como el tacto
De un helado y sombrío mono.
Sobre las lunares huellas,
A un azar de eternidad y desdicha,
Orión juega su ficha
En problemático dominó de estrellas.

El frescor nocturno
Triunfa de tu amoroso empeño,
Y domina tu frente con peso taciturno
El negro racimo del sueño.
En el fugaz desvarío
Con que te embargan soñadas visiones,
Vacilan las constelaciones;
Y en tu sueño formado de aroma y de estío,
Flota un antiguo cansancio
De Bizancio...

Languideciendo en la íntima baranda,
Sin ilusión alguna
Contestas a mi trémula demanda.
Al mismo tiempo que la luna,
Una gran perla se apaga en tu meñique;
Disipa la brisa retardados sonrojos;
Y el cielo como una barca que se va a pique,
Definitivamente naufraga en tus ojos.",LA MUERTE DE LA LUNA
Marilina Rébora,"

Porque si tú no velas, vendré como ladrón;
he de llegar a ti sin que sepas la hora.
Estate alerta, pues; vigila cada acción,
y lo que has recibido y escuchado, memora.

Aunque nombre de vivo posees, estás muerto;
perfectas, ante Dios, no he encontrado tus obras.
Consolídalas pronto o han de morir por cierto,
si es que no te arrepientes y de otro modo obras.

Yo soy El de las siete estrellas a su diestra;
El que en los siete Espíritus de Dios, único, arde.
Vestirá el que venciere de blancas vestiduras.
Del libro de la vida, su nombre santa muestra
jamás he de borrar, lo diré en las alturas.
Vendré como ladrón: igual, temprano o tarde.
Vendré como ladrón, de improviso o a oscuras.",PORQUE SI TÚ NO VELAS
Antonio Colinas,"

Pequeña de mis sueños, por tu piel las palomas,
la pálida presencia de la luna en el bosque
o la nieve recién caída de los astros.
por esa piel sin mácula, por su tersura suave,
tronché columnas firmes, derrumbé la techumbre
de la más alta noche: la de mis sueños puros.
Pan del amanecer tu blanco cuello, frente,
osamenta querida, veta, venero noble
Aquí tengo los brazos abiertos como un río,
las venas descansadas, todo el amor del mundo
dispuesto a consumir en un beso glorioso.
Pequeña mía, amada, no olvides que por ti,
una noche de julio, olvidé la aventura
de salir a buscar la belleza cautiva.",POEMA DE LA BELLEZA CAUTIVA QUE PERDÍ
José María Hinojosa,"

Los dedos de la nieve
repiquetearon
en el tamboril
del espacio.

Parábolas de nubes
forman un halo
de cristal,
sobre el monte nevado.

Una línea
y un plano.

Quiero poner mi vista
sólo en el espacio,
que es sencillo
y a la vez complicado.",SENCILLEZ
Rubén Izaguirre Fiallos,"Naciste en Armenia,
pero te fuiste a vivir al mundo.

Tres nombres: José Vasconcelos, Enrique Gómez Carrillo y Antoine de Saint-Exupéry.
Tres camas, seis piernas.

Para mí, eres la mujer más bella del mundo,
la insigne guanaquita que pude amar el resto de la vida.

Ah, Consuelo Suncín, Condesa de Sonsonate,
te comiste el mundo,
para enseñarnos su esqueleto.",Breve Carta a Consuelo Suncín
Leopoldo María Panero,"

Oscuridad nieve buitres desespero oscuridad nueve buitres nieve
buitres castillos (murciélagos) os
curidad nueve buitres deses
pero nieve lobos casas
abandonadas ratas desespero o
scuridad nueve buitres des
""buitres"", ""caballos"", ""el monstruo es verde"", ""desespero""
bien planeada oscuridad
Decapitaciones.",PASADIZO SECRETO
Gabriela Mistral,"
Siento mi corazón en la dulzura 
fundirse como ceras: 
son un óleo tardo 
y no un vino mis venas, 
y siento que mi vida se va huyendo 
callada y dulce como la gacela.",Atardecer
Pablo Neruda,"Cien sonetos de amor

Trajo el amor su cola de dolores, 
su largo rayo estático de espinas 
y cerramos los ojos porque nada, 
porque ninguna herida nos separe. 
No es culpa de tus ojos este llanto: 
tus manos no clavaron esta espada: 
no buscaron tus pies este camino: 
llegó a tu corazón la miel sombría. 
Cuando el amor como una inmensa ola 
nos estrelló contra la piedra dura, 
nos amasó con una sola harina, 
cayó el dolor sobre otro dulce rostro 
y así en la luz de la estación abierta 
se consagró la primavera herida.",Cien sonetos de amor
William Shakespeare,"¿Y por qué no es tu guerra más pujante
contra el Tirano tiempo sanguinario;
y contra el decaer no te aseguras
mejores medios que mi rima estéril?

En el cenit estás de horas risueñas.
Los incultos jardines virginales
darían para ti vivientes flores,
a ti más semejantes que tu efigie.

Tendrías vida nueva en vivos trazos,
pues ni mi pluma inhábil ni el pincel
harán que tu nobleza y tu hermosura

ante los ojos de los hombres vivan.
Si a ti mismo te entregas, quedarás
por tu dulce destreza retratado.",Y por qué no es tu guerra más pujante...
Gabriela Mistral,"
El espino prende a una roca 
su enloquecida contorsión, 
y es el espíritu del yermo, 
retorcido de angustia y sol. 
La encina es bella como Júpiter, 
y es un Narciso el mirto en flor. 
A él lo hicieron como a Vulcano, 
el horrible dios forjador. 
A él lo hicieron sin el encaje 
del claro álamo temblador, 
porque el alma del caminante 
ni le conozca la aflicción. 
De las greñas le nacen flores. 
(Así el verso le nació a Job.) 
Y como el salmo del leproso, 
es de agudo su intenso dolor. 
Pero aunque llene el aire ardiente 
de las siestas su exhalación, 
no ha sentido en su greña oscura 
temblarle un nido turbador... 
Me ha contado que me conoce, 
que en una noche de dolor 
en su espeso millón de espinas 
magullaron mi corazón. 
Le he abrazado como a una hermana, 
cual si Agar abrazara a Job, 
en un nudo que no es ternura, 
porque es más ¡desesperación!",El espino
